"COORDINATE_UNCERTAINTY_METERS_INVALID","CONTINENT_COORDINATE_MISMATCH","CONTINENT_COUNTRY_MISMATCH","CONTINENT_DERIVED_FROM_COORDINATES","CONTINENT_DERIVED_FROM_COUNTRY","COORDINATE_ACCURACY_INVALID","COORDINATE_PRECISION_INVALID","COORDINATE_PRECISION_UNCERTAINTY_MISMATCH","COORDINATE_REPROJECTED","ELEVATION_NON_NUMERIC","ELEVATION_NOT_METRIC","ELEVATION_UNLIKELY","CONTINENT_INVALID","COUNTRY_DERIVED_FROM_COORDINATES","COUNTRY_INVALID","ELEVATION_MIN_MAX_SWAPPED","COORDINATE_ROUNDED","DEPTH_MIN_MAX_SWAPPED","DEPTH_NON_NUMERIC","DEPTH_NOT_METRIC","DEPTH_UNLIKELY","COUNTRY_MISMATCH","COORDINATE_REPROJECTION_FAILED","COORDINATE_REPROJECTION_SUSPICIOUS","GEODETIC_DATUM_INVALID","PRESUMED_NEGATED_LATITUDE","PRESUMED_NEGATED_LONGITUDE","PRESUMED_SWAPPED_COORDINATE","GEODETIC_DATUM_ASSUMED_WGS84","COORDINATE_INVALID","COORDINATE_OUT_OF_RANGE","COUNTRY_COORDINATE_MISMATCH","ZERO_COORDINATE","AMBIGUOUS_COLLECTION","AMBIGUOUS_INSTITUTION","BASIS_OF_RECORD_INVALID","COLLECTION_MATCH_FUZZY","COLLECTION_MATCH_NONE","DIFFERENT_OWNER_INSTITUTION","FOOTPRINT_SRS_INVALID","FOOTPRINT_WKT_INVALID","FOOTPRINT_WKT_MISMATCH","GEOREFERENCED_DATE_INVALID","GEOREFERENCED_DATE_UNLIKELY","IDENTIFIED_DATE_INVALID","IDENTIFIED_DATE_UNLIKELY","INDIVIDUAL_COUNT_CONFLICTS_WITH_OCCURRENCE_STATUS","INDIVIDUAL_COUNT_INVALID","INSTITUTION_COLLECTION_MISMATCH","INSTITUTION_MATCH_FUZZY","INSTITUTION_MATCH_NONE","INTERPRETATION_ERROR","MODIFIED_DATE_INVALID","MODIFIED_DATE_UNLIKELY","MULTIMEDIA_DATE_INVALID","MULTIMEDIA_URI_INVALID","OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","OCCURRENCE_STATUS_UNPARSABLE","POSSIBLY_ON_LOAN","RECORDED_DATE_INVALID","RECORDED_DATE_MISMATCH","RECORDED_DATE_UNLIKELY","REFERENCES_URI_INVALID","TAXON_MATCH_AGGREGATE","TAXON_MATCH_FUZZY","TAXON_MATCH_HIGHERRANK","TAXON_MATCH_NONE","TYPE_STATUS_INVALID","Ctrl_bibliographicCitation","Ctrl_language","Ctrl_institutionCode","Ctrl_collectionCode","Ctrl_datasetName","Ctrl_basisOfRecord","Ctrl_informationWithheld","Ctrl_dataGeneralizations","Ctrl_occurrenceID","Ctrl_catalogNumber","Ctrl_recordNumber","Ctrl_recordedBy","Ctrl_georeferenceVerificationStatus","Ctrl_occurrenceStatus","Ctrl_eventDate","Ctrl_year","Ctrl_month","Ctrl_day","Ctrl_habitat","Ctrl_fieldNotes","Ctrl_eventRemarks","Ctrl_locationID","Ctrl_higherGeography","Ctrl_islandGroup","Ctrl_island","Ctrl_countryCode","Ctrl_stateProvince","Ctrl_county","Ctrl_municipality","Ctrl_locality","Ctrl_verbatimLocality","Ctrl_locationRemarks","Ctrl_decimalLatitude","Ctrl_decimalLongitude","Ctrl_verbatimCoordinateSystem","Ctrl_verbatimIdentification","Ctrl_identificationQualifier","Ctrl_typeStatus","Ctrl_identifiedBy","Ctrl_dateIdentified","Ctrl_scientificName","Ctrl_family","Ctrl_taxonRank","Ctrl_nomenclaturalCode","Ctrl_taxonomicStatus","Ctrl_issue","Ctrl_mediaType","Ctrl_hasCoordinate","Ctrl_hasGeospatialIssues","Ctrl_verbatimScientificName","Ctrl_level0Name","Ctrl_level1Name","Ctrl_level2Name","Ctrl_level3Name","wcvp_plant_name_id","wcvp_taxon_rank","wcvp_taxon_status","wcvp_family","wcvp_taxon_name","wcvp_taxon_authors","wcvp_accepted_plant_name_id","wcvp_reviewed","wcvp_searchedName","wcvp_taxon_status_of_searchedName","wcvp_plant_name_id_of_searchedName","wcvp_taxon_authors_of_searchedName","wcvp_verified_author","wcvp_verified_speciesName","wcvp_searchNotes","Ctrl_nameRecordedBy_Standard","Ctrl_recordNumber_Standard","Ctrl_key_family_recordedBy_recordNumber","Ctrl_key_year_recordedBy_recordNumber","Ctrl_geospatial_quality","Ctrl_verbatim_quality","Ctrl_moreInformativeRecord","Ctrl_selectedMoreInformativeRecord","Ctrl_thereAreDuplicates","Ctrl_unmatched","Ctrl_unidentifiedSample","Ctrl_sampleTaxonName","Ctrl_matchStatusDuplicates","Ctrl_sampleIdentificationStatus","Ctrl_numberTaxonNamesSample","Ctrl_useful_spatial_analysis","ID","Ctrl_need_revise_id_duplicates"
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"es","Universidad de Antioquia (UdeA)","HUA",,"PRESERVED_SPECIMEN",,,"UdeA:HUA:8910","8910","1629","Fonnegra R.;Arboleda O.;Bunch P.",,"PRESENT",1980-07-04,1980,7,4,,"Árbol de 8 m de altura. fruto joven verde opaco y negro al madurar",,,,,,"CO","La Guajira","Hatonuevo",,"Vía Manantial - Caracolí. arroyo Aguas Blancas","Zona Overburden entre Manantial y Caracolí. arroyo Aguas Blancas",,11.09345,-72.68986,,"Achatocarpus nigricans Triana",,,"Bunch P.",1981-10-06,"Achatocarpus nigricans Triana","Achatocarpaceae","SPECIES",,"ACCEPTED","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus nigricans","Colombia","La Guajira","Hatonuevo",,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana",500156,"Y","Achatocarpus nigricans Triana",,,,100,100,"Accepted","FONNEGRA",1629,"ACHATOCARPACEAE_FONNEGRA_1629","1980_FONNEGRA_1629",0,7,7,TRUE,FALSE,FALSE,FALSE,"Achatocarpus nigricans","matched","identified",1,TRUE,1,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"es","Universidad de Antioquia (UdeA)","HUA",,"PRESERVED_SPECIMEN",,,"UdeA:HUA:57566","57566","957","Roldán F.;García L.;Sylva G.",,"PRESENT",1988-05-01,1988,5,1,,"Arbusto de 3 m de altura. frutos verdes. exudado de transparente a negro",,,,,,"CO","La Guajira","Hatonuevo",,"Vía campamento Tabaco - Albania. finca El Ejemplo","Corregimiento Albania. carretera Campamento Tabaco-Albania. finca El Ejemplo",,11.133333,-72.6,,"Achatocarpus nigricans Triana",,,"Liesner R.",1990-01-01,"Achatocarpus nigricans Triana","Achatocarpaceae","SPECIES",,"ACCEPTED","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus nigricans","Colombia","La Guajira","Hatonuevo",,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana",500156,"Y","Achatocarpus nigricans Triana",,,,100,100,"Accepted","ROLDAN",957,"ACHATOCARPACEAE_ROLDAN_957","1988_ROLDAN_957",-1,7,6,TRUE,FALSE,FALSE,FALSE,"Achatocarpus nigricans","matched","identified",1,TRUE,2,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"es","Universidad de Antioquia (UdeA)","HUA",,"PRESERVED_SPECIMEN",,,"UdeA:HUA:23564","23564",,"Bunch P.",,"PRESENT",1980-05-23,1980,5,23,,"Arbusto",,,,,,"CO","La Guajira","Barrancas",,"El Cerrejón. 5 km N","5 km N de Cerrejón",,11.054939,-72.667058,,"Achatocarpus nigricans Triana",,,"Bunch P.",,"Achatocarpus nigricans Triana","Achatocarpaceae","SPECIES",,"ACCEPTED","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus nigricans","Colombia","La Guajira","Barrancas",,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana",500156,"Y","Achatocarpus nigricans Triana",,,,100,100,"Accepted","BUNCH",,"ACHATOCARPACEAE_BUNCH_","1980_BUNCH_",-1,6,5,TRUE,FALSE,TRUE,FALSE,"Achatocarpus nigricans","unmatched: no recordNumber","identified",1,TRUE,4,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"es","Universidad de Antioquia (UdeA)","HUA",,"PRESERVED_SPECIMEN",,,"UdeA:HUA:174667","174667","5470","Trujillo P.;Molina D.;López D.;Perdomo L.",,"PRESENT",2010-07-25,2010,7,25,,"Árbol de 7 m de altura",,,,,,"CO","La Guajira","Albania",,"El Cerrejón. botadero La Estrella","Botadero La Estrella. Cerrejón",,11.14012,-72.63917,"Grados, minutos, segundos","Achatocarpus nigricans Triana",,,"Molina D.",2010-08-10,"Achatocarpus nigricans Triana","Achatocarpaceae","SPECIES",,"ACCEPTED","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus nigricans","Colombia","La Guajira","Maicao",,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana",500156,"Y","Achatocarpus nigricans Triana",,,,100,100,"Accepted","TRUJILLO",5470,"ACHATOCARPACEAE_TRUJILLO_5470","2010_TRUJILLO_5470",0,7,7,TRUE,FALSE,FALSE,FALSE,"Achatocarpus nigricans","matched","identified",1,TRUE,6,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"es","Universidad de Antioquia (UdeA)","HUA",,"PRESERVED_SPECIMEN",,,"UdeA:HUA:170760","170760","4360","Trujillo P.;Montoya D.;Salazar H.",,"PRESENT",2009-11-17,2009,11,17,,"Árbol de 6 m de altura. 20 cm de diámetro. corteza externa parda. interna crema pálido. abundante látex blanco",,,,,,"CO","La Guajira","Barrancas",,"El Cerrejón. Oreganal","Garita Oreganal 2",,10.966111,-72.753889,"Grados, minutos, segundos","Achatocarpus nigricans Triana",,,"Molina D.",2009-12-01,"Achatocarpus nigricans Triana","Achatocarpaceae","SPECIES",,"ACCEPTED","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus nigricans","Colombia","La Guajira","Barrancas",,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana",500156,"Y","Achatocarpus nigricans Triana",,,,100,100,"Accepted","TRUJILLO",4360,"ACHATOCARPACEAE_TRUJILLO_4360","2009_TRUJILLO_4360",-1,7,6,TRUE,FALSE,FALSE,FALSE,"Achatocarpus nigricans","matched","identified",1,TRUE,7,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"es","Universidad de Antioquia (UdeA)","HUA",,"PRESERVED_SPECIMEN",,,"UdeA:HUA:153957","153957","3501","Benavides J.;Valencia A.",,"PRESENT",2003-09-01,2003,9,1,,"Arbusto de 3 m de altura",,,,,,"CO","Cesar","Valledupar",,"Corregimiento Sabana Crespo. margen derecha del río Guatapurí. zona de protección Arhuaca Athuaco","Corregimiento Sabana Crespo. margen derecha del río Guatapurí",,10.56206,-73.36103,,"Achatocarpus nigricans Triana",,,,,"Achatocarpus nigricans Triana","Achatocarpaceae","SPECIES",,"ACCEPTED","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus nigricans","Colombia","Cesar","Valledupar",,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana",500156,"Y","Achatocarpus nigricans Triana",,,,100,100,"Accepted","BENAVIDES",3501,"ACHATOCARPACEAE_BENAVIDES_3501","2003_BENAVIDES_3501",0,7,7,TRUE,FALSE,FALSE,FALSE,"Achatocarpus nigricans","matched","identified",1,TRUE,8,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"es","Universidad de Antioquia (UdeA)","HUA",,"PRESERVED_SPECIMEN",,,"UdeA:HUA:14827","14827","392","Bunch P.;Arboleda O.;Von Loh J.",,"PRESENT",1981-03-06,1981,3,6,,"Flowers white. raceme pendulous. 3 meters high",,,,,,"CO","La Guajira","Barrancas",,"Vía Roche - Manatial. cerca arroyo El Cequión","Near an arroyo near Roche. where it crosses the road from Roche to Manantial",,11.0783,-72.64645,,"Achatocarpus nigricans Triana",,,"Bunch P.",1981-03-03,"Achatocarpus nigricans Triana","Achatocarpaceae","SPECIES",,"ACCEPTED","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus nigricans","Colombia","La Guajira","Barrancas",,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana",500156,"Y","Achatocarpus nigricans Triana",,,,100,100,"Accepted","BUNCH",392,"ACHATOCARPACEAE_BUNCH_392","1981_BUNCH_392",0,7,7,TRUE,TRUE,FALSE,FALSE,"Achatocarpus nigricans","matched","identified",1,TRUE,9,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"es","Universidad de Antioquia (UdeA)","HUA",,"PRESERVED_SPECIMEN",,,"UdeA:HUA:14292","14292","732","Bunch P.;Arboleda O.;Brand J.;Santa J.",,"PRESENT",1980-07-06,1980,7,6,,"Shrub or small tree. fruit green when fresh. stain paper black",,,,,,"CO","La Guajira","Albania",,"Arroyo Tabaco. cerca de campamento Tabaco. Intercor coal","Along arroyo Tabaco near the Intercor coal camp",,11.11303,-72.56992,,"Achatocarpus nigricans Triana",,,"Bunch P.",1980-07-04,"Achatocarpus nigricans Triana","Achatocarpaceae","SPECIES",,"ACCEPTED","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus nigricans","Colombia","La Guajira","Maicao",,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana",500156,"Y","Achatocarpus nigricans Triana",,,,100,100,"Accepted","BUNCH",732,"ACHATOCARPACEAE_BUNCH_732","1980_BUNCH_732",0,7,7,TRUE,TRUE,FALSE,FALSE,"Achatocarpus nigricans","matched","identified",1,TRUE,10,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"es","Universidad de Antioquia (UdeA)","HUA",,"PRESERVED_SPECIMEN",,,"UdeA:HUA:137962","137962","6610","Vargas W.",,"PRESENT",1999-11-11,1999,11,11,,"Árbol de ramas escandentes y arqueadas. glabro; con espinas agudas y las hojitas concentradas en los nudos. inflorescencias axilares péndulas",,,,,,"CO","Valle del Cauca","Roldanillo",,"Corregimiento Morelia","Corregimiento de Morelia",,4.87802,-76.11571,,"Achatocarpus nigricans Triana",,,"Vargas W.",,"Achatocarpus nigricans Triana","Achatocarpaceae","SPECIES",,"ACCEPTED","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus nigricans","Colombia","Valle del Cauca","El Águila",,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana",500156,"Y","Achatocarpus nigricans Triana",,,,100,100,"Accepted","VARGAS",6610,"ACHATOCARPACEAE_VARGAS_6610","1999_VARGAS_6610",0,7,7,TRUE,FALSE,FALSE,FALSE,"Achatocarpus nigricans","matched","identified",1,TRUE,11,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"es","Universidad de Antioquia (UdeA)","HUA",,"PRESERVED_SPECIMEN",,,"UdeA:HUA:129004","129004","2012","Marulanda O.;López C.;López M.;Idárraga A.;Montoya M.",,"PRESENT",1999-06-15,1999,6,15,,"Árbol de 7 m. frutos verdes que se tornan negros al madurar",,,,,,"CO","Magdalena","San Sebastián de Buenavista",,"Corregimiento San Valentín. parcelas permanentes de la Reforestadora San Sebastián","Reforestadora San Sebastián",,9.25,-74.35,"Grados, minutos, segundos","Achatocarpus nigricans Triana",,,"Marulanda O.",,"Achatocarpus nigricans Triana","Achatocarpaceae","SPECIES",,"ACCEPTED","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus nigricans","Colombia","Magdalena","San Sebastián de Buenavista",,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana",500156,"Y","Achatocarpus nigricans Triana",,,,100,100,"Accepted","MARULANDA",2012,"ACHATOCARPACEAE_MARULANDA_2012","1999_MARULANDA_2012",0,7,7,TRUE,FALSE,FALSE,FALSE,"Achatocarpus nigricans","matched","identified",1,TRUE,14,FALSE
