"COORDINATE_UNCERTAINTY_METERS_INVALID","CONTINENT_COORDINATE_MISMATCH","CONTINENT_COUNTRY_MISMATCH","CONTINENT_DERIVED_FROM_COORDINATES","CONTINENT_DERIVED_FROM_COUNTRY","COORDINATE_ACCURACY_INVALID","COORDINATE_PRECISION_INVALID","COORDINATE_PRECISION_UNCERTAINTY_MISMATCH","COORDINATE_REPROJECTED","ELEVATION_NON_NUMERIC","ELEVATION_NOT_METRIC","ELEVATION_UNLIKELY","CONTINENT_INVALID","COUNTRY_DERIVED_FROM_COORDINATES","COUNTRY_INVALID","ELEVATION_MIN_MAX_SWAPPED","COORDINATE_ROUNDED","DEPTH_MIN_MAX_SWAPPED","DEPTH_NON_NUMERIC","DEPTH_NOT_METRIC","DEPTH_UNLIKELY","COUNTRY_MISMATCH","COORDINATE_REPROJECTION_FAILED","COORDINATE_REPROJECTION_SUSPICIOUS","GEODETIC_DATUM_INVALID","PRESUMED_NEGATED_LATITUDE","PRESUMED_NEGATED_LONGITUDE","PRESUMED_SWAPPED_COORDINATE","GEODETIC_DATUM_ASSUMED_WGS84","COORDINATE_INVALID","COORDINATE_OUT_OF_RANGE","COUNTRY_COORDINATE_MISMATCH","ZERO_COORDINATE","AMBIGUOUS_COLLECTION","AMBIGUOUS_INSTITUTION","BASIS_OF_RECORD_INVALID","COLLECTION_MATCH_FUZZY","COLLECTION_MATCH_NONE","DIFFERENT_OWNER_INSTITUTION","FOOTPRINT_SRS_INVALID","FOOTPRINT_WKT_INVALID","FOOTPRINT_WKT_MISMATCH","GEOREFERENCED_DATE_INVALID","GEOREFERENCED_DATE_UNLIKELY","IDENTIFIED_DATE_INVALID","IDENTIFIED_DATE_UNLIKELY","INDIVIDUAL_COUNT_CONFLICTS_WITH_OCCURRENCE_STATUS","INDIVIDUAL_COUNT_INVALID","INSTITUTION_COLLECTION_MISMATCH","INSTITUTION_MATCH_FUZZY","INSTITUTION_MATCH_NONE","INTERPRETATION_ERROR","MODIFIED_DATE_INVALID","MODIFIED_DATE_UNLIKELY","MULTIMEDIA_DATE_INVALID","MULTIMEDIA_URI_INVALID","OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","OCCURRENCE_STATUS_UNPARSABLE","POSSIBLY_ON_LOAN","RECORDED_DATE_INVALID","RECORDED_DATE_MISMATCH","RECORDED_DATE_UNLIKELY","REFERENCES_URI_INVALID","TAXON_MATCH_AGGREGATE","TAXON_MATCH_FUZZY","TAXON_MATCH_HIGHERRANK","TAXON_MATCH_NONE","TYPE_STATUS_INVALID","Ctrl_bibliographicCitation","Ctrl_language","Ctrl_institutionCode","Ctrl_collectionCode","Ctrl_datasetName","Ctrl_basisOfRecord","Ctrl_informationWithheld","Ctrl_dataGeneralizations","Ctrl_occurrenceID","Ctrl_catalogNumber","Ctrl_recordNumber","Ctrl_recordedBy","Ctrl_georeferenceVerificationStatus","Ctrl_occurrenceStatus","Ctrl_eventDate","Ctrl_year","Ctrl_month","Ctrl_day","Ctrl_habitat","Ctrl_fieldNotes","Ctrl_eventRemarks","Ctrl_locationID","Ctrl_higherGeography","Ctrl_islandGroup","Ctrl_island","Ctrl_countryCode","Ctrl_stateProvince","Ctrl_county","Ctrl_municipality","Ctrl_locality","Ctrl_verbatimLocality","Ctrl_locationRemarks","Ctrl_decimalLatitude","Ctrl_decimalLongitude","Ctrl_verbatimCoordinateSystem","Ctrl_verbatimIdentification","Ctrl_identificationQualifier","Ctrl_typeStatus","Ctrl_identifiedBy","Ctrl_dateIdentified","Ctrl_scientificName","Ctrl_family","Ctrl_taxonRank","Ctrl_nomenclaturalCode","Ctrl_taxonomicStatus","Ctrl_issue","Ctrl_mediaType","Ctrl_hasCoordinate","Ctrl_hasGeospatialIssues","Ctrl_verbatimScientificName","Ctrl_level0Name","Ctrl_level1Name","Ctrl_level2Name","Ctrl_level3Name","wcvp_plant_name_id","wcvp_taxon_rank","wcvp_taxon_status","wcvp_family","wcvp_taxon_name","wcvp_taxon_authors","wcvp_accepted_plant_name_id","wcvp_reviewed","wcvp_searchedName","wcvp_taxon_status_of_searchedName","wcvp_plant_name_id_of_searchedName","wcvp_taxon_authors_of_searchedName","wcvp_verified_author","wcvp_verified_speciesName","wcvp_searchNotes","Ctrl_nameRecordedBy_Standard","Ctrl_recordNumber_Standard","Ctrl_key_family_recordedBy_recordNumber","Ctrl_key_year_recordedBy_recordNumber","Ctrl_geospatial_quality","Ctrl_verbatim_quality","Ctrl_moreInformativeRecord","Ctrl_selectedMoreInformativeRecord","Ctrl_thereAreDuplicates","Ctrl_unmatched","Ctrl_unidentifiedSample","Ctrl_sampleTaxonName","Ctrl_matchStatusDuplicates","Ctrl_sampleIdentificationStatus","Ctrl_numberTaxonNamesSample","Ctrl_useful_spatial_analysis","ID"
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"SI","HERB",,"PRESERVED_SPECIMEN",,,,"96962",,"Johnson, A. E.",,"PRESENT",,,,,,,,,,,,"AR","Misiones","General Manuel Belgrano",,"RVS Urugua-í, Sendero Los Pozones",,,-26,-53.98,,,,,"-",,"Achatocarpus praecox f. praecox","Achatocarpaceae","FORM",,"ACCEPTED","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus praecox Griseb. var. praecox","Argentina","Misiones","General Manuel Belgrano",,,,,,,,,,"Achatocarpus praecox f. praecox",,,,0,0,"Not found","JOHNSON",,"ACHATOCARPACEAE_JOHNSON_","noYear_JOHNSON_",-3,5,2,TRUE,FALSE,TRUE,TRUE,,"unmatched: no recordNumber","unidentified",0,TRUE,42
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"SI","HERB",,"PRESERVED_SPECIMEN",,,,"295770",,"Tur, N. M.",,"PRESENT",,,,,,,,,,,,"AR","Misiones","San Javier",,,,,-27.77,-55.16,,,,,"Bacigalupo, N. M.",,"Achatocarpus praecox f. praecox","Achatocarpaceae","FORM",,"ACCEPTED","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus praecox Griseb. var. praecox","Argentina","Misiones","San Javier",,,,,,,,,,"Achatocarpus praecox f. praecox",,,,0,0,"Not found","TUR",,"ACHATOCARPACEAE_TUR_","noYear_TUR_",-3,4,1,TRUE,FALSE,TRUE,TRUE,,"unmatched: no recordNumber","unidentified",0,TRUE,43
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"SI","HERB",,"PRESERVED_SPECIMEN",,,,"432940",,"Zardini, E. M.",,"PRESENT",,,,,,,,,,,,"PY","Central","-",,"Estero del Ypoá. Cerro Pé. Forest at base of cerro.",,,-25.67,-57.45,,,,,"Liesner, R. L.",,"Achatocarpus praecox f. praecox","Achatocarpaceae","FORM",,"ACCEPTED","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus praecox Griseb. var. praecox","Paraguay","Central","Nueva Italia",,,,,,,,,,"Achatocarpus praecox f. praecox",,,,0,0,"Not found","ZARDINI",,"ACHATOCARPACEAE_ZARDINI_","noYear_ZARDINI_",-3,5,2,TRUE,FALSE,TRUE,TRUE,,"unmatched: no recordNumber","unidentified",0,TRUE,44
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"SI","HERB",,"PRESERVED_SPECIMEN",,,,"432936",,"Lewis, -",,"PRESENT",,,,,,,,,,,,"AR","Santa Fe","Vera",,"Fortín Olmos (Cuña boscosa).",,,,,,,,,"Galotti, L. D.",,"Achatocarpus praecox f. praecox","Achatocarpaceae","FORM",,"ACCEPTED","CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,FALSE,FALSE,"Achatocarpus praecox Griseb. var. praecox",,,,,,,,,,,,,"Achatocarpus praecox f. praecox",,,,0,0,"Not found","LEWIS",,"ACHATOCARPACEAE_LEWIS_","noYear_LEWIS_",-1,5,4,TRUE,FALSE,TRUE,TRUE,,"unmatched: no recordNumber","unidentified",0,TRUE,45
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"SI","HERB",,"PRESERVED_SPECIMEN",,,,"432203",,"Pelotto, J. P.",,"PRESENT",,,,,,,,,,,,"AR","Santiago del Estero","Copo",,"Reserva Natural de Copo.",,,-25.92,-62.08,,,,,"-",,"Achatocarpus praecox f. praecox","Achatocarpaceae","FORM",,"ACCEPTED","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus praecox Griseb. var. praecox","Argentina","Santiago del Estero","Copo",,,,,,,,,,"Achatocarpus praecox f. praecox",,,,0,0,"Not found","PELOTTO",,"ACHATOCARPACEAE_PELOTTO_","noYear_PELOTTO_",-3,5,2,TRUE,FALSE,TRUE,TRUE,,"unmatched: no recordNumber","unidentified",0,TRUE,46
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"SI","HERB",,"PRESERVED_SPECIMEN",,,,"432201",,"Pelotto, J. P.",,"PRESENT",,,,,,,,,,,,"AR","Santiago del Estero","Copo",,"Reserva Natural de Copo.",,,-25.92,-62.08,,,,,"-",,"Achatocarpus praecox f. praecox","Achatocarpaceae","FORM",,"ACCEPTED","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus praecox Griseb. var. praecox","Argentina","Santiago del Estero","Copo",,,,,,,,,,"Achatocarpus praecox f. praecox",,,,0,0,"Not found","PELOTTO",,"ACHATOCARPACEAE_PELOTTO_","noYear_PELOTTO_",-3,5,2,TRUE,FALSE,TRUE,TRUE,,"unmatched: no recordNumber","unidentified",0,TRUE,47
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"SI","HERB",,"PRESERVED_SPECIMEN",,,,"432200",,"Pelotto, J. P.",,"PRESENT",,,,,,,,,,,,"AR","Santiago del Estero","Copo",,"Reserva Natural de Copo.",,,-25.92,-62.08,,,,,"-",,"Achatocarpus praecox f. praecox","Achatocarpaceae","FORM",,"ACCEPTED","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus praecox Griseb. var. praecox","Argentina","Santiago del Estero","Copo",,,,,,,,,,"Achatocarpus praecox f. praecox",,,,0,0,"Not found","PELOTTO",,"ACHATOCARPACEAE_PELOTTO_","noYear_PELOTTO_",-3,5,2,TRUE,FALSE,TRUE,TRUE,,"unmatched: no recordNumber","unidentified",0,TRUE,48
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"SI","HERB",,"PRESERVED_SPECIMEN",,,,"432110",,"Legname, P. R.",,"PRESENT",,,,,,,,,,,,"AR","Salta","Anta",,"A 23 Km del puesto Figueroa y a 88 Km. de Las Lajitas, camino a Rivadavia.",,,,,,,,,"Legname, P. R.",,"Achatocarpus praecox f. praecox","Achatocarpaceae","FORM",,"ACCEPTED","CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,FALSE,FALSE,"Achatocarpus praecox Griseb. var. praecox",,,,,,,,,,,,,"Achatocarpus praecox f. praecox",,,,0,0,"Not found","LEGNAME",,"ACHATOCARPACEAE_LEGNAME_","noYear_LEGNAME_",-1,5,4,TRUE,FALSE,TRUE,TRUE,,"unmatched: no recordNumber","unidentified",0,TRUE,49
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"SI","HERB",,"PRESERVED_SPECIMEN",,,,"432108",,"Marmol, L. A.",,"PRESENT",,,,,,,,,,,,"AR","Jujuy","San Pedro",,"camino de San Pedro a La Mendieta.",,,,,,,,,"Legname, -",,"Achatocarpus praecox f. praecox","Achatocarpaceae","FORM",,"ACCEPTED","CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,FALSE,FALSE,"Achatocarpus praecox Griseb. var. praecox",,,,,,,,,,,,,"Achatocarpus praecox f. praecox",,,,0,0,"Not found","MARMOL",,"ACHATOCARPACEAE_MARMOL_","noYear_MARMOL_",-1,5,4,TRUE,FALSE,TRUE,TRUE,,"unmatched: no recordNumber","unidentified",0,TRUE,50
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"SI","HERB",,"PRESERVED_SPECIMEN",,,,"432105",,"Novara, L. J.",,"PRESENT",,,,,,,,,,,,"AR","Salta","Cerrillos",,"La Pedrera",,,-24.9,-65.24,,,,,"-",,"Achatocarpus praecox f. praecox","Achatocarpaceae","FORM",,"ACCEPTED","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,TRUE,FALSE,"Achatocarpus praecox Griseb. var. praecox","Argentina","Salta","Capital",,,,,,,,,,"Achatocarpus praecox f. praecox",,,,0,0,"Not found","NOVARA",,"ACHATOCARPACEAE_NOVARA_","noYear_NOVARA_",-3,5,2,TRUE,FALSE,TRUE,TRUE,,"unmatched: no recordNumber","unidentified",0,TRUE,51
